table_name,column_name,exact_data_type,is_nullable,column_default
addresses,id,uuid,NO,gen_random_uuid()
addresses,user_id,uuid,YES,null
addresses,line1,text,NO,null
addresses,line2,text,YES,null
addresses,city,text,NO,null
addresses,state,text,YES,null
addresses,postal_code,text,NO,null
addresses,country,character(2),NO,null
addresses,is_default,boolean,YES,false
addresses,created_at,timestamp with time zone,YES,now()
addresses,deleted_at,timestamp with time zone,YES,null
addresses,full_name,text,YES,null
addresses,phone,text,YES,null
addresses,email,text,YES,null
addresses,landmark,text,YES,null
addresses,address_type,text,YES,'home'::text
addresses,company_name,text,YES,null
addresses,gstin,text,YES,null
cart_items,id,uuid,NO,gen_random_uuid()
cart_items,cart_id,uuid,NO,null
cart_items,product_id,uuid,NO,null
cart_items,quantity,integer,NO,null
cart_items,price_snapshot,numeric,NO,null
cart_items,added_at,timestamp with time zone,NO,now()
carts,id,uuid,NO,gen_random_uuid()
carts,user_id,uuid,NO,null
carts,created_at,timestamp with time zone,NO,now()
carts,updated_at,timestamp with time zone,NO,now()
categories,id,uuid,NO,gen_random_uuid()
categories,name,text,NO,null
categories,slug,text,NO,null
categories,description,text,YES,null
categories,image_url,text,YES,null
categories,is_active,boolean,YES,true
categories,created_at,timestamp with time zone,YES,now()
order_items,id,uuid,NO,gen_random_uuid()
order_items,order_id,uuid,YES,null
order_items,product_id,uuid,YES,null
order_items,product_name,text,YES,null
order_items,unit_price,numeric,NO,null
order_items,quantity,integer,NO,null
order_items,subtotal,numeric,YES,null
order_items,compare_price,numeric,YES,0.00
order_items,hsn_code,text,YES,'9988'::text
order_items,gst_percentage,integer,YES,18
order_items,tax_amount,numeric,YES,0.00
order_items,discount_amount,numeric,YES,0.00
orders,id,uuid,NO,gen_random_uuid()
orders,customer_id,uuid,YES,null
orders,status,text,YES,'pending'::text
orders,subtotal,numeric,YES,null
orders,shipping_cost,numeric,YES,null
orders,tax_amount,numeric,YES,null
orders,total_amount,numeric,YES,null
orders,stripe_payment_intent,text,YES,null
orders,shipping_line1,text,YES,null
orders,shipping_line2,text,YES,null
